game_id,hand_id,player,received_cards_from,total_score
6,8,Aidan,None,81
6,9,Aidan,Dad,85
6,10,Aidan,Diane,90
6,11,Aidan,Kai,90
6,12,Aidan,None,90
6,1,Diane,Aidan,0
6,2,Diane,Kai,10
6,3,Diane,Dad,29
6,4,Diane,None,29
6,5,Diane,Aidan,29
6,6,Diane,Kai,30
6,7,Diane,Dad,56
6,8,Diane,None,56
6,9,Diane,Aidan,77
6,10,Diane,Kai,95
6,11,Diane,Dad,97
6,12,Diane,None,99
7,1,Kai,Diane,17
7,2,Kai,Dad,43
7,3,Kai,Aidan,69
7,4,Kai,None,69
7,5,Kai,Diane,70
7,6,Kai,Dad,95
7,7,Kai,Aidan,108
7,1,Dad,Kai,1
7,2,Dad,Aidan,27
7,3,Dad,Diane,53
7,4,Dad,None,54
7,5,Dad,Kai,54
7,6,Dad,Aidan,54
7,7,Dad,Diane,55
7,1,Diane,Aidan,8
7,2,Diane,Kai,34
7,3,Diane,Dad,34
7,4,Diane,None,52
7,5,Diane,Aidan,77
7,6,Diane,Kai,78
7,7,Diane,Dad,82
7,1,Aidan,Dad,0
7,2,Aidan,Diane,0
7,3,Aidan,Kai,26
7,4,Aidan,None,34
7,5,Aidan,Dad,34
7,6,Aidan,Diane,34
7,7,Aidan,Kai,42
8,1,Kai,Diane,0
8,2,Kai,Dad,1
8,3,Kai,Aidan,2
8,4,Kai,None,15
8,5,Kai,Diane,30
8,6,Kai,Dad,56
8,7,Kai,Aidan,68
8,8,Kai,None,90
8,9,Kai,Diane,92
8,1,Dad,Kai,21
8,2,Dad,Aidan,22
8,3,Dad,Diane,22
8,4,Dad,None,32
8,5,Dad,Kai,32
8,6,Dad,Aidan,32
8,7,Dad,Diane,45
8,8,Dad,None,45
8,9,Dad,Kai,50
8,1,Diane,Aidan,4
8,2,Diane,Kai,28
8,3,Diane,Dad,29
8,4,Diane,None,32
8,5,Diane,Aidan,36
8,6,Diane,Kai,62
8,7,Diane,Dad,62
8,8,Diane,None,67
8,9,Diane,Aidan,71
8,1,Aidan,Dad,1
8,2,Aidan,Diane,1
8,3,Aidan,Kai,25
8,4,Aidan,None,25
8,5,Aidan,Dad,32
8,6,Aidan,Diane,58
8,7,Aidan,Kai,59
8,8,Aidan,None,59
8,9,Aidan,Dad,74
9,1,Kai,Diane,11
9,2,Kai,Dad,12
9,3,Kai,Aidan,13
9,4,Kai,None,13
9,5,Kai,Diane,36
