game_id,hand_id,player,received_cards_from,total_score
10,8,player_3,none,99
11,1,player_1,player_4,1
11,2,player_1,player_2,1
11,3,player_1,player_3,23
11,4,player_1,none,35
11,5,player_1,player_4,45
11,6,player_1,player_2,66
11,7,player_1,player_3,68
11,8,player_1,none,88
11,9,player_1,player_4,101
11,1,player_4,player_3,0
11,2,player_4,player_1,24
11,3,player_4,player_2,24
11,4,player_4,none,38
11,5,player_4,player_3,38
11,6,player_4,player_1,38
11,7,player_4,player_2,42
11,8,player_4,none,42
11,9,player_4,player_3,66
11,1,player_2,player_1,25
11,2,player_2,player_3,27
11,3,player_2,player_4,27
11,4,player_2,none,27
11,5,player_2,player_1,27
11,6,player_2,player_3,27
11,7,player_2,player_4,27
11,8,player_2,none,27
11,9,player_2,player_1,31
11,1,player_3,player_2,0
11,2,player_3,player_4,0
11,3,player_3,player_1,4
11,4,player_3,none,4
11,5,player_3,player_2,20
11,6,player_3,player_4,25
11,7,player_3,player_1,25
11,8,player_3,none,31
11,9,player_3,player_2,36
12,1,player_1,player_4,26
12,2,player_1,player_2,30
12,3,player_1,player_3,30
12,4,player_1,none,51
12,5,player_1,player_4,56
12,6,player_1,player_2,82
12,7,player_1,player_3,95
12,8,player_1,none,121
12,1,player_3,player_2,26
12,2,player_3,player_4,29
12,3,player_3,player_1,48
12,4,player_3,none,52
12,5,player_3,player_2,52
12,6,player_3,player_4,52
12,7,player_3,player_1,52
12,8,player_3,none,52
12,1,player_2,player_1,26
12,2,player_2,player_3,45
12,3,player_2,player_4,45
12,4,player_2,none,46
12,5,player_2,player_1,65
12,6,player_2,player_3,91
12,7,player_2,player_4,91
12,8,player_2,none,117
12,1,player_4,player_3,0
12,2,player_4,player_1,0
12,3,player_4,player_2,7
12,4,player_4,none,7
12,5,player_4,player_3,9
12,6,player_4,player_1,35
12,7,player_4,player_2,48
12,8,player_4,none,74
13,1,player_1,player_4,0
13,2,player_1,player_2,8
13,3,player_1,player_3,24
13,4,player_1,none,44
13,5,player_1,player_4,50
13,6,player_1,player_2,53
13,7,player_1,player_3,53
13,8,player_1,none,53
13,9,player_1,player_4,54
13,10,player_1,player_2,56
13,11,player_1,player_3,57
13,12,player_1,none,61
13,1,player_2,player_1,9
13,2,player_2,player_3,22
13,3,player_2,player_4,26
13,4,player_2,none,26
13,5,player_2,player_1,26
13,6,player_2,player_3,46
13,7,player_2,player_4,48
13,8,player_2,none,53
13,9,player_2,player_1,58
13,10,player_2,player_3,74
13,11,player_2,player_4,87
13,12,player_2,none,87
13,1,player_4,player_3,14
13,2,player_4,player_1,14
13,3,player_4,player_2,20
13,4,player_4,none,24
13,5,player_4,player_3,40
13,6,player_4,player_1,40
13,7,player_4,player_2,64
13,8,player_4,none,64
13,9,player_4,player_3,84
13,10,player_4,player_1,89
13,11,player_4,player_2,93
13,12,player_4,none,111
13,1,player_3,player_2,3
13,2,player_3,player_4,8
13,3,player_3,player_1,8
13,4,player_3,none,10
13,5,player_3,player_2,14
13,6,player_3,player_4,17
13,7,player_3,player_1,17
13,8,player_3,none,38
13,9,player_3,player_2,38
13,10,player_3,player_4,41
13,11,player_3,player_1,49
13,12,player_3,none,53
14,1,player_1,player_4,0
14,2,player_1,player_2,0
14,3,player_1,player_3,0
14,4,player_1,none,18
14,5,player_1,player_4,18
14,6,player_1,player_2,18
14,7,player_1,player_3,22
14,1,player_3,player_2,26
14,2,player_3,player_4,26
14,3,player_3,player_1,26
14,4,player_3,none,34
14,5,player_3,player_2,46
14,6,player_3,player_4,46
14,7,player_3,player_1,46
14,1,player_2,player_1,26
14,2,player_2,player_3,48
14,3,player_2,player_4,49
14,4,player_2,none,49
14,5,player_2,player_1,49
14,6,player_2,player_3,51
14,7,player_2,player_4,71
14,1,player_4,player_3,26
14,2,player_4,player_1,30
14,3,player_4,player_2,55
14,4,player_4,none,55
14,5,player_4,player_3,69
14,6,player_4,player_1,94
14,7,player_4,player_2,100
