,game_id,hand_id,player,received_cards_from,total_score,points_per_hand,percent_points_per_hand,queen_spades,moon_shooter,best_player_of_hand,best_player_of_game,game_winner,hand_position,swing_down,swing_up,no_swing,swings
52,2,2,player_3,player_4,25,24.0,36.36,1,none,player_1,player_1,player_2,4.0,0,1,0,up
53,2,3,player_3,player_1,25,0.0,0.0,0,none,player_3,player_1,player_2,3.0,0,0,1,same
54,2,4,player_3,none,25,0.0,0.0,0,none,player_1,player_1,player_2,3.0,0,1,0,up
55,2,5,player_3,player_2,28,3.0,4.55,0,none,player_1,player_1,player_2,2.0,1,0,0,down
56,2,6,player_3,player_4,35,7.0,10.61,0,none,player_4,player_1,player_2,3.0,0,1,0,up
57,2,7,player_3,player_1,38,3.0,4.55,0,none,player_1,player_1,player_2,2.0,1,0,0,down
58,2,8,player_3,none,63,25.0,37.88,1,none,player_4,player_1,player_2,4.0,0,1,0,up
59,2,9,player_3,player_2,63,0.0,0.0,0,none,player_3,player_1,player_2,3.0,0,0,1,same
60,2,10,player_3,player_4,66,3.0,4.55,0,none,player_1,player_1,player_2,3.0,0,0,1,same
61,2,11,player_3,player_1,66,0.0,0.0,0,none,player_3,player_1,player_2,3.0,0,0,1,same
62,2,1,player_4,player_3,5,5.0,5.0,0,none,player_1,player_1,player_2,3.0,0,0,0,start
63,2,2,player_4,player_1,5,0.0,0.0,0,none,player_1,player_1,player_2,2.0,0,1,0,up
64,2,3,player_4,player_2,11,6.0,6.0,0,none,player_3,player_1,player_2,1.0,0,0,1,same
65,2,4,player_4,none,13,2.0,2.0,0,none,player_1,player_1,player_2,1.0,1,0,0,down
66,2,5,player_4,player_3,31,18.0,18.0,1,none,player_1,player_1,player_2,3.0,0,1,0,up
67,2,6,player_4,player_1,34,3.0,3.0,0,none,player_4,player_1,player_2,2.0,1,0,0,down
68,2,7,player_4,player_2,56,22.0,22.0,1,none,player_1,player_1,player_2,3.0,0,1,0,up
69,2,8,player_4,none,56,0.0,0.0,0,none,player_4,player_1,player_2,2.0,1,0,0,down
70,2,9,player_4,player_3,74,18.0,18.0,1,none,player_3,player_1,player_2,4.0,0,0,1,same
71,2,10,player_4,player_1,97,23.0,23.0,1,none,player_1,player_1,player_2,4.0,0,0,1,same
72,2,11,player_4,player_2,100,3.0,3.0,0,none,player_3,player_1,player_2,4.0,0,0,1,same
73,2,1,player_2,player_1,19,19.0,32.76,1,none,player_1,player_1,player_2,4.0,0,0,0,start
74,2,2,player_2,player_3,21,2.0,3.45,0,none,player_1,player_1,player_2,3.0,1,0,0,down
75,2,3,player_2,player_4,26,5.0,8.62,0,none,player_3,player_1,player_2,4.0,0,0,1,same
76,2,4,player_2,none,50,24.0,41.38,1,none,player_1,player_1,player_2,4.0,0,0,1,same
77,2,5,player_2,player_1,54,4.0,6.9,0,none,player_1,player_1,player_2,4.0,0,0,1,same
78,2,6,player_2,player_3,57,3.0,5.17,0,none,player_4,player_1,player_2,4.0,0,0,1,same
79,2,7,player_2,player_4,58,1.0,1.72,0,none,player_1,player_1,player_2,4.0,0,1,0,up
80,2,8,player_2,none,58,0.0,0.0,0,none,player_4,player_1,player_2,3.0,0,1,0,up
81,2,9,player_2,player_1,58,0.0,0.0,0,none,player_3,player_1,player_2,2.0,0,0,1,same
82,2,10,player_2,player_3,58,0.0,0.0,0,none,player_1,player_1,player_2,2.0,0,1,0,up
